address,distance,name,link,showing,day
"1800 Congress Avenue, Austin, TX 78701",1.0 mi,Bullock Museum IMAX Theatre,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Bullock+Museum+IMAX+Theatre&si=ACC90nxYhNno81_TzuVO0e1EieRzQwXK2DrwuMdAl3IyVcpNQ3Nvg6tG3QJ-v8sNi8DiZ-PX2lDV0m83KQFCa-vAFUTZtMd-6l9ZR-ri-xM1_uPTy5wepKod3759o4uTtX70tE61L-BTk0LRDajd-UF1X4pidtn5NcpTDvzV9BhTMaoP2jpUG6OfdnB3Wri0aT3snBOz8CVX6N6hUqYx3cGv0xpI_xkTlPxdTKJhVLObzr1huPYOaV1-lDo4XWZZwaa1p2G3yIG2&sa=X&ved=2ahUKEwjAu6W7152JAxUzmokEHTmXICkQySZ6BQiDARAL,"[{time:[4:15pm,7:30pm],type:IMAX}]",2024-10-20
"1120 South Lamar Boulevard, Austin, TX 78704",1.5 mi,Alamo Drafthouse Cinema South Lamar,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Alamo+Drafthouse+Cinema+South+Lamar&si=ACC90nxYhNno81_TzuVO0e1EieRzQwXK2DrwuMdAl3IyVcpNQyeWMKUnglCN8tYnbka20YoX-K2RAZOgwrjfmC0C-XDImm3lcHAsPt3OS92aqYk3aFWM-NOpqbvgCLSNTFptKotMO555SKZ3P5Zk8LvPcAPWWQdk4oTYaJY_KfvqxlWTpBlq2w_n_hohWLbeSEtB9ZpVm_Jl5kCrCjOf2e0k4efyBwtxbnnB-pijTJXiZqEvHjO28LBZhbKs3ruW-ox_59cs-juq&sa=X&ved=2ahUKEwjAu6W7152JAxUzmokEHTmXICkQySZ6BQiDARAQ,"[{time:[9:45pm],type:Standard}]",2024-10-20
"2901 Capital Of Texas Highway, Austin, TX 78746",4.0 mi,AMC Barton Creek Square 14,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=AMC+Barton+Creek+Square+14&si=ACC90nyByJNAHfkzzi7l4JA4fcQKnJZTwFZjuiioX_pEpk9Ep0g26SFiuh0ASCfoNan6osD-mWpFJH18PptfteVMyZY0AAlwh3nZShKRhBBhzs8mNNkHNrMTGN_LinddSpHfO424U3cToB0z5hgo5VD7EPPGc47LL1dJZBSJrC3AIkDLw_fRex8-tkhRbT_3EWxvMlg4cO64ZsV3vY46GlC6s3Oy6HAGq1HJ1KKOmMuvBkJ6X7I2nmg%3D&sa=X&ved=2ahUKEwjAu6W7152JAxUzmokEHTmXICkQySZ6BQiDARAU,"[{time:[6:45pm],type:Standard},{time:[10:45pm],type:IMAX}]",2024-10-20
"4477 South Lamar Boulevard, Austin, TX 78745",4.3 mi,Regal Westgate,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Regal+Westgate&si=ACC90nxYhNno81_TzuVO0e1EieRzQwXK2DrwuMdAl3IyVcpNQ--xXR86lNCuErlseq4E8paIKQL171z7IL-s3izIWxuh3ZjwWv_uQ2ZjeqYp72uhHkngN84on0YzcolD9MPV7CBLtKqmwW3lF0wl5PRrJFbn9rlEEVoyoqMYq_DEeIzLz1aNqd7rp6LCycIimWJ3bFOjEd6M_cMgGXo0BXcSdhZvxwpYLrcfPOHd48JfQoSq3yVu3hjTqDykFNZb_EH0_dbXYTq7&sa=X&ved=2ahUKEwjAu6W7152JAxUzmokEHTmXICkQySZ6BQiDARAa,"[{time:[2:20pm,5:30pm,8:10pm],type:Standard}]",2024-10-20
"901 Little Texas Lane, Austin, TX 78745",5.1 mi,Regal Metropolitan,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Regal+Metropolitan&si=ACC90nyByJNAHfkzzi7l4JA4fcQKnJZTwFZjuiioX_pEpk9Ep9-sk7PGjTQ3jWGXHKuCHdhomakvRr734l3bGsKigQhuqnZTy7HgMsmNXR2dvxoshEwqSd1QY_FvehDYB6DddiycEtTwXsmAe8B6sKeq-bh0qKcwx-rvAajSFxvZQUrU8sPDRrPKA9gcrMs3XETw-JQ8bjRs8Ea8K_lSSfOB7p3ptMJvPL5QkmF9GYx82qE-_gmsoYk%3D&sa=X&ved=2ahUKEwjAu6W7152JAxUzmokEHTmXICkQySZ6BQiDARAg,"[{time:[4:40pm,8:05pm],type:Standard}]",2024-10-20
"9700 Stonelake Boulevard, Austin, TX 78759",8.4 mi,Regal Gateway,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Regal+Gateway&si=ACC90nyByJNAHfkzzi7l4JA4fcQKnJZTwFZjuiioX_pEpk9Ep-FP0jLCfmnpGKon3aFTecvVFXroA4MGciquQ1NhQQlbTbgfK-E9CEyFVgyq3IPiuaWeUNHCgcFGERGSdBolWaDMsEiqd5FIz_T3z1dsmqVpc18f2tXP3vXbjnHHMRJIpOUtbrrPL6FBhu4SMBCgR47dG7TxhMorB1bq89r4BlJgJi7d2VW3nllEOoA2Azh44t1Fu6A%3D&sa=X&ved=2ahUKEwjAu6W7152JAxUzmokEHTmXICkQySZ6BQiDARAl,"[{time:[2:50pm,6:15pm],type:Standard}]",2024-10-20
"Unit N, 9900 South IH-35 Service Road SB, Austin, TX 78748",8.4 mi,Cinemark Southpark Meadows,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Cinemark+Southpark+Meadows&si=ACC90ny8E30vD16OoPAAI4cStfcliGy35W8UAhb0TsHNc_ISQZjKjBJypIBG0jgaGD0TwZMcFhA4D9Mu9HnwK9ypV0-Ug6RbUvJfJ2CMU5QsFt3jdW3gIkVE9zfSQFDal53MwIxvCN45kpE-_hX-bYgtHhBf26r6znG9GyhfFJaEava8g6no05bGjPq4CjlHAtERBPMu8QPmyKcqccH9JdCHz08OWb4ZPJ4B952hhlNpGh_FbEbRrjM%3D,"[{time:[4:15pm,7:30pm,9:20pm],type:Standard}]",2024-10-20
"Building F, 5701 West Slaughter Lane, Austin, TX 78749",8.9 mi,Alamo Drafthouse Cinema Slaughter Lane,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=Alamo+Drafthouse+Cinema+Slaughter+Lane&si=ACC90ny8E30vD16OoPAAI4cStfcliGy35W8UAhb0TsHNc_ISQbyQVXrJP8LB7tuQgUK3NNSR0Isk-ztutzv--MxFtIsDjemIOjCeAz2tAzcpC36jf8m158fT-f_sO9yLAQbUWatSQ6Fu11VhlunxWzZkAA0iyCthm2H8EZjUyaFEThhDmXv0lrmTcKBLJsh3aTiHUyCyk5t19HFTmdcoHPdSbjiiiqCXeerl32YCKSMu80okBvNnoWc%3D,"[{time:[4:30pm],type:Standard}]",2024-10-20
"3225 Amy Donovan Plaza, Austin, TX 78758",9.0 mi,IPIC Theaters,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=IPIC+Theaters&si=ACC90nyByJNAHfkzzi7l4JA4fcQKnJZTwFZjuiioX_pEpk9Ep6Wqt6vLAXIUfU6VDsPaScvZuTpqrw126iSwxig0RUZPG__vc4Ji_vXJ2SuSNh7N1D5kiFkHhmpU0Ql_t5esM6X9Q9nZ7XjKlaOttp4orXLOlTBA41AipbA-YHcpwBH7e_e9TeC8lk5XBFJYOgDbWYZ-ESSaTxJ-xWNkRXsFpwnwrRgthQf1KLzEcHaz0H77vR3vFlU%3D,"[{time:[2:45pm,6:30pm,10:00pm],type:Standard}]",2024-10-20
"12625 North Interstate Highway 35, Austin, TX 78753",10.7 mi,AMC DINE-IN Tech Ridge 10,https://www.google.com/search?sca_esv=f1335be37f2cdbad&gl=us&hl=en&q=AMC+DINE-IN+Tech+Ridge+10&si=ACC90nwLLwns5sISZcdzuISy7t-NHozt8Cbt6G3WNQfC9ekAgKOTebNv1LQqljc0KoXtyxpyYc4DrA477iSPs_307daYYz9nTNH2wtBgdG1JIGi0OzGNOqTldim9CrvTDcv4aQuXKSyaVmNSp23kXVrMu7UiLhQjrKEUXj3oLiKBpCIPpxpecQcEcOS1KA0jnS78m_jeG8q-ViuHwqWxz1JYjbYPUR_LacP7EvVsuQbK3hdaZk31U7pOd7hnQ6QkttYulMURiclj,"[{time:[4:20pm,8:30pm],type:Standard}]",2024-10-20
